hinge_1,hinge_2,hinge_3,hinge_4,torque_hinge_1,torque_hinge_2,torque_hinge_3,torque_hinge_4
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-1.1102230246251565e-16,1.8973538018496328e-18,-9.540979117872439e-18,-1.9081958235744878e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.04483909514669069,5.551115123125783e-17,-1.1384122811097797e-18,-4.336808689942018e-18,-1.214306433183765e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.03487485178075943,1.1102230246251565e-16,4.445228907190568e-18,-6.938893903907228e-18,-4.336808689942018e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.02491060841482816,-5.551115123125783e-17,6.7220534694101275e-18,-6.5052130349130266e-18,0.0
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.014946365048896897,-5.551115123125783e-17,-1.0570971181733668e-17,-6.071532165918825e-18,-2.2551405187698492e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.0049821216829656345,-1.1102230246251565e-16,-2.9815559743351372e-18,-3.0357660829594124e-18,1.9081958235744878e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.0049821216829656345,2.7755575615628914e-17,5.963111948670274e-19,2.6020852139652106e-18,6.765421556309548e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.01494636504889689,0.0,-3.0357660829594124e-18,-6.071532165918825e-18,5.898059818321144e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.02491060841482816,8.326672684688674e-17,1.111307226797642e-18,4.336808689942018e-19,3.8163916471489756e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.03487485178075943,1.1102230246251565e-16,-5.908901840045999e-18,4.336808689942018e-18,5.204170427930421e-18
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.04483909514669068,-2.7755575615628914e-17,-5.095750210681871e-18,8.239936510889834e-18,4.683753385137379e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.05480333851262195,1.3877787807814457e-16,-8.131516293641283e-19,1.3010426069826053e-18,-3.469446951953614e-17
